ticket_id,customer_id,created_date,channel,subject,ticket_text,category,priority
TKT-100719,CUST-2306,2026-01-22 15:54,Chat,Feature suggestion for mobile app,"Please consider adding multi-language support to the mobile app, it would help our international team. Thanks.",Feature Request,Low
TKT-101705,CUST-3031,2026-01-22 17:16,Email,Refund amount incorrect,My credit card on file expired and I think that's why my last payment of $99.99 bounced. Please advise.,Refund Request,Medium
TKT-100467,CUST-2291,2026-01-22 17:23,Chat,Billing discrepancy,"requesting an itemized receipt for the $99.99 payment made on May 14, 2026.",Billing Issue,Low
TKT-100663,CUST-4443,2026-01-22 23:19,Email,Question about my invoice,Charged $24.99 for a plan I never signed up for. This needs to be reversed today.,Billing Issue,Critical
TKT-100308,CUST-3448,2026-01-23 01:11,Chat,Billing discrepancy,"I need assistance, please respond when you get a chance. Thank you.",Billing Issue,Low
TKT-102064,CUST-3443,2026-01-23 02:29,Email,App crashing on iPad,"Hello, something seems off, not sure who to contact about this.",Technical Issue,Low
TKT-100902,CUST-6304,2026-01-23 02:51,Chat,Refund for double billing,"Hello, i was billed for the Basic Plan even though I cancelled it back on February 01, 2026. Appreciate the help.",Billing Issue,Critical
TKT-101630,CUST-3734,2026-01-23 03:06,Email,Duplicate charge on my account,"i need assistance, please respond when you get a chance.",Billing Issue,Low
TKT-101517,CUST-7893,2026-01-23 04:20,Web Form,Subscription renewal issue,Charged $19.99 for a plan I never signed up for. This needs to be reversed today.,Billing Issue,Critical
TKT-101916,CUST-8341,2026-01-23 05:44,Chat,Shipping address change request,"My order ORD-86084 was supposed to arrive on March 26, 2026 but tracking hasn't updated in 15 days. Please advise.",Shipping & Delivery,Critical
TKT-101602,CUST-4919,2026-01-23 09:37,Web Form,2FA code not received,how do I change the email address linked to my account? Please advise.,Account Access,Low
TKT-102074,CUST-1496,2026-01-23 10:21,Web Form,Platform down,"Could u check why the calendar sync sync with our calendar stopped working since January 10, 2026? Thx.",Technical Issue,Medium
TKT-101498,CUST-7392,2026-01-23 10:31,Chat,Suggestion for notification settings improvement,"Hello Support, it would help a lot if notification settings had an offline mode for when we lose internet.",Feature Request,Low
TKT-100206,CUST-7730,2026-01-23 11:46,Email,Platform down,"The mobile app freezes on the loading screen, stuck there for over 16 days now across multiple devices.",Technical Issue,Critical
TKT-100182,CUST-3138,2026-01-23 11:59,Web Form,App crashing on iPad,can someone get back to me regarding this matter?,Technical Issue,Low
TKT-101584,CUST-2969,2026-01-23 13:01,Phone,Unexpected charge of $9.99,"My subscription renewed automatically and charged $9.99, but I thought I had cancelled auto-renew.",Billing Issue,High
TKT-101981,CUST-2001,2026-01-23 13:23,Email,Account recovery needed,"Forgot my password and the reset email never arrived, checked spam folder too. Thanks.",Account Access,Medium
TKT-101606,CUST-8451,2026-01-23 14:43,Chat,Order stuck in processing,"The laptop stand arrived damaged, the box was crushed during shipping.",Shipping & Delivery,High
TKT-101337,CUST-5896,2026-01-23 16:30,Email,Sync issue with search function,"Our entire team lost access to the search function this morning, this is blocking a client deadline today.",Technical Issue,Critical
TKT-101854,CUST-2415,2026-01-23 17:06,Web Form,Refund amount incorrect,"The refund I received was less than what I originally paid, missing $39.99.",Refund Request,High
TKT-101830,CUST-6036,2026-01-23 19:07,Phone,Pricing question,what's the difference between the Standard Plan and Annual Membership? Trying to decide which one to get. Appreciate the help.,Product Inquiry,Low
TKT-101567,CUST-6328,2026-01-23 19:54,Email,Bug in reporting module,"I noticed the reporting module is loading really slowly today, takes almost a minute to respond. Please advise.",Technical Issue,Medium
TKT-100459,CUST-9898,2026-01-23 20:43,Phone,App crashing on Android phone,"Hello, integration with our third-party tool stopped working after your last update, error ERR_4042 appears constantly.",Technical Issue,High
TKT-101011,CUST-9402,2026-01-24 02:21,Phone,Feature suggestion for mobile app,"would be cool if mobile app had a search filter by date range, kinda needed tbh",Feature Request,Low
TKT-101604,CUST-6881,2026-01-24 02:36,Phone,Account recovery needed,Is there a way to set up single sign-on (SSO) for our organization's account? Thank you.,Account Access,Medium
TKT-101149,CUST-1861,2026-01-24 04:55,Chat,Slow performance issue,"Getting a blank white screen when I try to load the dashboard on Firefox browser. Tried clearing cache, didn't help.",Technical Issue,High
TKT-101179,CUST-9380,2026-01-24 06:02,Chat,Compatibility question,does team collaboration tool support exporting data to Excel or only PDF? Looking forward to ur response.,Product Inquiry,Low
TKT-101474,CUST-2179,2026-01-24 06:05,Phone,Subscription renewal issue,"I noticed a late fee of $99.99 added to my account, but I paid on time. Please review. Thanks.",Billing Issue,Medium
TKT-100906,CUST-1905,2026-01-24 06:44,Web Form,Integration request,Please add a way to schedule reports in data export tool instead of generating them manually each time.,Feature Request,Low
TKT-101937,CUST-2918,2026-01-24 06:57,Email,Question about USB-C hub,What payment methods do u accept for purchasing the USB-C hub? Looking forward to ur response.,Product Inquiry,Low
TKT-101912,CUST-5994,2026-01-24 11:47,Email,dashboard not working,"Getting a blank white screen when I try to load the dashboard on Firefox browser. Tried clearing cache, didn't help. Thank you.",Technical Issue,High
TKT-100409,CUST-3378,2026-01-24 12:00,Phone,Order ORD-46856 delayed,Courier marked my package as delivered but I have security footage showing nothing arrived. Looking forward to your response.,Shipping & Delivery,Critical
TKT-100165,CUST-7557,2026-01-24 17:14,Web Form,Refund amount incorrect,"I cancelled my Basic Plan within the trial period but was still charged $19.99, please refund.",Refund Request,High
TKT-101317,CUST-4843,2026-01-24 18:02,Email,Sync issue with billing portal,"Hi team, getting 'invalid credentials' error even though I just reset the password successfully.",Technical Issue,High
TKT-100935,CUST-5386,2026-01-24 18:10,Phone,Tracking not updating,"I'd like to dispute a charge and request a refund, the wireless headphones was never delivered.",Shipping & Delivery,Critical
TKT-101302,CUST-6457,2026-01-24 20:18,Chat,Suggestion for customer portal improvement,Suggestion: allow custom notification schedules instead of the fixed default times. Looking forward to your response.,Feature Request,Low
TKT-101928,CUST-9474,2026-01-24 21:52,Phone,Question about my invoice,Just confirming - does the $99.99 I see include tax or is that added separately at checkout?,Billing Issue,Low
TKT-100029,CUST-9820,2026-01-25 00:13,Chat,2FA code not received,How long does account verification usually take? Submitted my documents 8 days ago.,Account Access,Low
TKT-101007,CUST-5416,2026-01-25 01:06,Email,Question about my invoice,Reaching out again as I haven't heard back about my last message. Appreciate the help.,Billing Issue,Medium
TKT-100051,CUST-5314,2026-01-25 01:53,Chat,Requesting refund for Basic Plan,Refund for order ORD-25912 was approved but I haven't seen the $59.99 back in my account yet.,Refund Request,High
TKT-101115,CUST-9425,2026-01-25 02:19,Email,Refund request for order ORD-32770,"The smart watch I received was defective, requesting a refund rather than a replacement. Thank you.",Refund Request,Medium
TKT-100370,CUST-6295,2026-01-25 03:20,Phone,Sync issue with mobile app,"Getting a blank white screen when I try to load the dashboard on Windows laptop. Tried clearing cache, didn't help.",Technical Issue,High
TKT-100795,CUST-8394,2026-01-25 03:28,Email,Tracking not updating,"Requesting to cancel order ORD-75296 before it ships, placed it by mistake.",Shipping & Delivery,Low
TKT-100945,CUST-7145,2026-01-25 06:47,Phone,Platform down,"I can't upload files through the file upload feature, it just shows error ERR_SYNC_77 and nothing happens.",Technical Issue,High
TKT-100995,CUST-5920,2026-01-25 10:46,Email,Compatibility question,"Hi team, is the Basic Plan suitable for a team of 10 people, or is there a per-seat limit?",Product Inquiry,Low
TKT-101063,CUST-5018,2026-01-25 11:44,Email,2FA code not received,"not sure if this is the right place to ask, but I need help.",Account Access,Low
TKT-101126,CUST-7545,2026-01-25 14:18,Chat,Bug in billing portal,How long does account verification usually take? Submitted my documents 3 days ago.,Technical Issue,Low
TKT-100626,CUST-4915,2026-01-25 16:34,Web Form,Order ORD-57815 delayed,"Hi, international shipping fees seem way higher than what was quoted at checkout for order ORD-57815.",Shipping & Delivery,Medium
TKT-101025,CUST-1095,2026-01-25 16:59,Phone,Wrong item received,"Hi team, received someone else's order instead of mine, the packing slip has a different name on it.",Shipping & Delivery,High
TKT-101118,CUST-1303,2026-01-25 17:30,Email,Order stuck in processing,International shipping fees seem way higher than what was quoted at checkout for order ORD-41643.,Shipping & Delivery,Low
TKT-101472,CUST-6341,2026-01-25 18:51,Email,Pricing question,What's the difference between the Enterprise Plan and Pro Plan? Trying to decide which one to get.,Product Inquiry,Low
TKT-101201,CUST-9129,2026-01-25 20:01,Chat,Platform down,"After updating the app, the dark mode setting button is missing entirely from the menu.",Technical Issue,Medium
TKT-101825,CUST-9557,2026-01-25 20:52,Web Form,Update payment method,is it possible to switch from monthly to annual billing for the Premium Plan? Want to know if it saves money.,Billing Issue,Low
TKT-100897,CUST-1536,2026-01-26 00:11,Chat,Damaged item received,"I'd like to request expedited shipping for order ORD-36982, is that possible after the order's placed?",Shipping & Delivery,Low
TKT-101886,CUST-7049,2026-01-26 01:35,Phone,Question about my invoice,"I was billed for the Premium Plan even though I cancelled it back on January 19, 2026.",Billing Issue,High
TKT-101715,CUST-8927,2026-01-26 03:43,Chat,Unexpected charge of $129.99,Charged $129.99 for a plan I never signed up for. This needs to be reversed today.,Billing Issue,Critical
TKT-100802,CUST-5587,2026-01-26 04:40,Email,Billing discrepancy,"Hello Support, i was charged $49.99 twice for my Annual Membership this month, please refund the duplicate charge immediately. Please advise.",Billing Issue,High
TKT-102155,CUST-8588,2026-01-26 05:49,Phone,Product availability question,Does the bluetooth speaker come in any other colors besides what's shown on the website?,Product Inquiry,Low
TKT-100421,CUST-7520,2026-01-26 06:49,Email,Update payment method,"Can I get a discount applied to my Annual Membership, I saw a promo code that wasn't reflected at checkout?",Billing Issue,Low
TKT-100738,CUST-1560,2026-01-26 08:25,Chat,Platform down,"Please remove my old email address as a backup recovery option, it's no longer active. Appreciate the help.",Technical Issue,Medium
TKT-101088,CUST-9370,2026-01-26 11:45,Phone,Platform down,Dark mode setting in search function resets itself every time I refresh the page. Thanks.,Technical Issue,Low
TKT-101041,CUST-7000,2026-01-26 12:40,Email,Request: dark mode support,Would be great to have role-based permissions for data export tool instead of all-or-nothing access.,Feature Request,Medium
TKT-100768,CUST-2190,2026-01-26 16:11,Email,Wrong item received,"my package never came and tracking just stopped updating since February 14, 2026, kinda annoyed tbh",Shipping & Delivery,Medium
TKT-100579,CUST-2750,2026-01-26 17:13,Email,Refund request for order ORD-85534,"the USB-C hub I received was defective, requesting a refund rather than a replacement. Appreciate the help.",Refund Request,High
TKT-100942,CUST-1163,2026-01-26 22:36,Web Form,Feature suggestion for billing portal,"Please consider adding multi-language support to the billing portal, it would help our international team.",Feature Request,Low
TKT-101781,CUST-6990,2026-01-27 01:10,Email,Account suspended,how long does account verification usually take? Submitted my documents 17 days ago.,Account Access,Low
TKT-101162,CUST-9011,2026-01-27 01:15,Web Form,Account recovery needed,I think there's a glitch in the API integration - numbers don't add up correctly after syncing. Thanks.,Account Access,Medium
TKT-100834,CUST-9020,2026-01-27 02:20,Web Form,Refund amount incorrect,Refund for order ORD-55290 was approved but I haven't seen the $24.99 back in my account yet. Thanks.,Refund Request,High
TKT-100793,CUST-3924,2026-01-27 05:26,Chat,Refund amount incorrect,"The replacement you sent for order ORD-76623 also arrived broken, I'd rather just get a refund now.",Refund Request,High
TKT-101360,CUST-7563,2026-01-27 07:54,Phone,Unexpected charge of $24.99,is it possible to switch from monthly to annual billing for the Basic Plan? Want to know if it saves money.,Billing Issue,Low
TKT-100849,CUST-5088,2026-01-27 08:52,Email,Order stuck in processing,Package for order ORD-67609 shows as delivered but I never received it. Thanks.,Shipping & Delivery,Critical
TKT-100411,CUST-3748,2026-01-27 09:20,Web Form,Wrong item received,"The bluetooth speaker arrived damaged, the box was crushed during shipping.",Shipping & Delivery,High
TKT-100469,CUST-2719,2026-01-27 10:58,Web Form,Unable to reset password,"I want to downgrade my account permissions for one of my team members, where do I do that?",Account Access,Low
TKT-101897,CUST-6346,2026-01-27 14:08,Email,Question about laptop stand,"Is the Enterprise Plan suitable for a team of 10 people, or is there a per-seat limit?",Product Inquiry,Low
TKT-100761,CUST-9919,2026-01-27 23:25,Phone,Account locked,why does it say my account is 'under review'? I haven't done anything unusual. Appreciate the help.,Account Access,Medium
TKT-100397,CUST-9473,2026-01-27 23:49,Chat,Feature suggestion for customer portal,"Can I try the laptop stand in person at a physical store, or is it online-only?",Feature Request,Low
TKT-101964,CUST-5227,2026-01-28 01:07,Phone,Account recovery needed,"Integration with our third-party tool stopped working after your last update, error 500 Internal Server Error appears constantly. Please advise.",Account Access,High
TKT-101871,CUST-3987,2026-01-28 01:42,Chat,Question about wireless mouse,"Hello Support, something seems off, not sure who to contact about this.",Product Inquiry,Low
TKT-100835,CUST-6136,2026-01-28 03:32,Web Form,Partial refund needed,"The replacement u sent for order ORD-45763 also arrived broken, I'd rather just get a refund now. Looking forward to ur response.",Refund Request,High
TKT-101585,CUST-6029,2026-01-28 04:31,Web Form,Duplicate charge on my account,"pls update my billing address, the one on file is outdated.",Billing Issue,Low
TKT-101699,CUST-4162,2026-01-28 07:05,Chat,Subscription renewal issue,could u walk me through how proration works when upgrading from Basic to Basic Plan?,Billing Issue,Low
TKT-100670,CUST-4562,2026-01-28 07:23,Web Form,Damaged item received,"Hi, can you expedite a replacement shipment for the damaged smart watch from order ORD-33919?",Shipping & Delivery,High
TKT-100127,CUST-3534,2026-01-28 07:25,Email,Bug in dark mode setting,"Just a heads up, the search bar in dark mode setting returns no results even for exact matches. Appreciate the help.",Technical Issue,Medium
TKT-100222,CUST-7215,2026-01-28 08:49,Email,Product availability question,Would it be possible to integrate reporting module with Slack for real-time alerts?,Product Inquiry,Low
TKT-101504,CUST-1504,2026-01-28 15:51,Chat,2FA code not received,"My session keeps expiring every few minutes, having to log in repeatedly is really annoying. Thank you.",Account Access,Medium
TKT-101580,CUST-1673,2026-01-28 17:49,Email,Requesting refund for Enterprise Plan,"I want to cancel and get a refund for the annual Enterprise Plan, I no longer need it.",Refund Request,Medium
TKT-101104,CUST-2927,2026-01-28 19:07,Chat,Order ORD-68884 delayed,Customs held my international order ORD-68884 and I haven't gotten any updates in over a week.,Shipping & Delivery,Medium
TKT-101256,CUST-5638,2026-01-28 19:21,Phone,Sync issue with reporting module,"Just a heads up, the search bar in reporting module returns no results even for exact matches. Thank you.",Technical Issue,Medium
TKT-101452,CUST-9452,2026-01-28 20:15,Email,Slow performance issue,The app crashes immediately after I open it on my iPad. I've tried reinstalling twice already.,Technical Issue,Critical
TKT-101632,CUST-7708,2026-01-28 20:54,Email,Feature suggestion for team collaboration tool,"Hi, many of us would appreciate a 'recently viewed' section added to the team collaboration tool. Thanks.",Feature Request,Low
TKT-101372,CUST-8814,2026-01-28 21:36,Phone,Account suspended,"My session keeps expiring every few minutes, having to log in repeatedly is really annoying. Looking forward to your response.",Account Access,Medium
TKT-100765,CUST-4770,2026-01-29 02:47,Phone,Pricing question,Does upgrading from Pro Plan to Basic Plan carry over my existing data automatically?,Product Inquiry,Low
TKT-100175,CUST-1037,2026-01-29 03:07,Chat,Account recovery needed,"I can't log into my account, it keeps saying my password is incorrect even after I reset it. Appreciate the help.",Account Access,High
TKT-102061,CUST-8365,2026-01-29 03:16,Web Form,Question about tablet case,Is the tablet case waterproof or just water-resistant?,Product Inquiry,Low
TKT-100497,CUST-5438,2026-01-29 05:00,Web Form,2FA code not received,"Trying to delete my account permanently, can't find the option in settings. Appreciate the help.",Account Access,Medium
TKT-101809,CUST-6046,2026-01-29 05:06,Phone,Feature suggestion for calendar sync,Can you add the ability to export data from calendar sync directly to Google Sheets?,Feature Request,Low
TKT-102144,CUST-1383,2026-01-29 05:07,Web Form,Account recovery needed,How long does account verification usually take? Submitted my documents 18 days ago.,Account Access,Low
TKT-100074,CUST-7834,2026-01-29 06:09,Web Form,Package marked delivered but missing,"Hi team, package for order ORD-14616 shows as delivered but I never received it.",Shipping & Delivery,Critical
TKT-101564,CUST-9167,2026-01-29 06:14,Phone,Wrong item received,Can u confirm if order ORD-74270 has shipped yet? Haven't gotten a confirmation email.,Shipping & Delivery,Low
TKT-100487,CUST-4477,2026-01-29 07:31,Phone,Account locked,"Trying to delete my account permanently, can't find the option in settings. Thanks.",Account Access,Medium
TKT-100383,CUST-1151,2026-01-29 10:35,Phone,Billing discrepancy,"Hi, requesting an itemized receipt for the $24.99 payment made on February 05, 2026.",Billing Issue,Low
TKT-100482,CUST-2090,2026-01-29 12:00,Chat,Subscription renewal issue,Is it possible to switch from monthly to annual billing for the Standard Plan? Want to know if it saves money.,Billing Issue,Low
TKT-100519,CUST-3415,2026-01-29 12:30,Web Form,Refund amount incorrect,"Hi team, i'm not satisfied with the monitor stand, it's not what I expected, can I return it for a refund?",Refund Request,Low
TKT-101252,CUST-4057,2026-01-29 17:07,Email,Feature suggestion for reporting module,Feature idea: let us tag and filter items by custom labels in reporting module. Thanks.,Feature Request,Low
TKT-101356,CUST-1502,2026-01-29 18:03,Phone,Pricing question,Does upgrading from Standard Plan to Basic Plan carry over my existing data automatically? Thanks.,Product Inquiry,Low
TKT-100140,CUST-2585,2026-01-29 18:08,Web Form,Product availability question,Does upgrading from Basic Plan to Annual Membership carry over my existing data automatically?,Product Inquiry,Medium
TKT-100428,CUST-6877,2026-01-29 19:35,Chat,Duplicate charge on my account,"My company needs a tax document for payments made this year, who can provide that? Please advise.",Billing Issue,Low
TKT-100340,CUST-3965,2026-01-29 21:38,Email,Tracking not updating,Customs held my international order ORD-31736 and I haven't gotten any updates in over a week.,Shipping & Delivery,Medium
TKT-102092,CUST-4278,2026-01-29 21:58,Email,Subscription renewal issue,"Can I get a discount applied to my Basic Plan, I saw a promo code that wasn't reflected at checkout?",Billing Issue,Low
TKT-101284,CUST-5086,2026-01-29 23:29,Web Form,Pricing question,"hey just wondering if the noise-cancelling earbuds works with Windows laptop, thinking about buying one Looking forward to your response.",Product Inquiry,Low
TKT-101700,CUST-8717,2026-01-30 02:49,Email,Slow performance issue,"Hi team, the export function in reporting module produces a corrupted file every time. Please advise.",Technical Issue,High
TKT-101547,CUST-2150,2026-01-30 03:27,Web Form,Suspicious login activity,I'm having an issue and need someone to help me as soon as possible. Thanks.,Account Access,Medium
TKT-100447,CUST-9703,2026-01-30 06:55,Chat,Account locked,Is there a way to set up single sign-on (SSO) for our organization's account?,Account Access,Low
TKT-101433,CUST-1586,2026-01-30 07:31,Web Form,Partial refund needed,"I see two separate charges of $39.99 on May 16, 2026, both labeled the same. Please investigate.",Refund Request,High
TKT-101414,CUST-1281,2026-01-30 09:47,Email,Request: dark mode support,Would love to see keyboard shortcuts added to the mobile app for power users. Thank you.,Feature Request,Low
TKT-101824,CUST-3101,2026-01-30 09:50,Chat,Can't log in to my account,"Hi, my account shows as suspended, I have no idea why. Pls help urgently, I need this for work.",Account Access,Critical
TKT-101647,CUST-5101,2026-01-30 10:47,Phone,Product availability question,Is the webcam waterproof or just water-resistant?,Product Inquiry,Low
TKT-100427,CUST-1813,2026-01-30 11:18,Email,Can't log in to my account,"Hi, my session keeps expiring every few minutes, having to log in repeatedly is really annoying.",Account Access,Medium
TKT-100364,CUST-3782,2026-01-30 11:32,Email,Account locked,"i can't log into my account, it keeps saying my password is incorrect even after I reset it.",Account Access,High
TKT-102138,CUST-6345,2026-01-30 14:23,Chat,Enterprise Plan vs Basic Plan comparison,Do you have plans to release a iPad version of the app?,Product Inquiry,Low
TKT-100720,CUST-3439,2026-01-30 14:50,Email,Can't log in to my account,"Hi, i cant get into my account, tried everything, pls help asap",Account Access,High
TKT-101677,CUST-7638,2026-01-30 15:03,Chat,Order stuck in processing,Just want to double check the estimated delivery window for order ORD-79503. Thanks.,Shipping & Delivery,Low
TKT-101424,CUST-1104,2026-01-30 16:51,Web Form,Platform down,The export function in dashboard produces a corrupted file every time. Please advise.,Technical Issue,High
TKT-101817,CUST-4195,2026-01-30 17:04,Phone,Pricing question,I'm having an issue and need someone to help me as soon as possible. Please advise.,Product Inquiry,Low
TKT-101401,CUST-4432,2026-01-30 17:28,Email,Shipping address change request,"I'd like to request expedited shipping for order ORD-74807, is that possible after the order's placed?",Shipping & Delivery,Low
TKT-101132,CUST-3384,2026-01-30 19:30,Chat,search function not working,"I need assistance, please respond when you get a chance.",Technical Issue,Low
TKT-101870,CUST-9539,2026-01-30 20:25,Web Form,Compatibility question,"Does the Basic Plan include access to reporting module, or is that a separate add-on?",Product Inquiry,Low
TKT-101390,CUST-8760,2026-01-30 20:34,Email,Unexpected charge of $59.99,"Billing cycle seems off, I was charged on January 15, 2026 instead of my usual billing date.",Billing Issue,Medium
TKT-100139,CUST-8791,2026-01-30 22:57,Chat,Damaged item received,My tracking number for order ORD-48225 isn't working on the carrier's website.,Shipping & Delivery,Medium
